Generation: 10001, Heterozygosity: 3.94989e-05

Generation: 10002, Heterozygosity: 3.86245e-05

Generation: 10003, Heterozygosity: 3.90375e-05

Generation: 10004, Heterozygosity: 3.92282e-05

Generation: 10005, Heterozygosity: 4.03997e-05

Generation: 10006, Heterozygosity: 4.07463e-05

Generation: 10007, Heterozygosity: 4.02706e-05

Generation: 10008, Heterozygosity: 3.93436e-05

Generation: 10009, Heterozygosity: 3.95404e-05

Generation: 10010, Heterozygosity: 3.70863e-05

Generation: 10011, Heterozygosity: 3.63657e-05

Generation: 10012, Heterozygosity: 3.34518e-05

Generation: 10013, Heterozygosity: 3.28057e-05

Generation: 10014, Heterozygosity: 3.32623e-05

Generation: 10015, Heterozygosity: 3.1126e-05

Generation: 10016, Heterozygosity: 2.96514e-05

Generation: 10017, Heterozygosity: 2.79666e-05

Generation: 10018, Heterozygosity: 2.62291e-05

Generation: 10019, Heterozygosity: 2.68734e-05

Generation: 10020, Heterozygosity: 2.69374e-05

Generation: 10021, Heterozygosity: 2.69858e-05

Generation: 10022, Heterozygosity: 2.62327e-05

Generation: 10023, Heterozygosity: 2.46752e-05

Generation: 10024, Heterozygosity: 2.62299e-05

Generation: 10025, Heterozygosity: 2.68632e-05

Generation: 10026, Heterozygosity: 2.63054e-05

Generation: 10027, Heterozygosity: 2.71973e-05

Generation: 10028, Heterozygosity: 2.78877e-05

Generation: 10029, Heterozygosity: 2.86994e-05

Generation: 10030, Heterozygosity: 2.84652e-05

Generation: 10031, Heterozygosity: 2.82214e-05

Generation: 10032, Heterozygosity: 2.77594e-05

Generation: 10033, Heterozygosity: 2.7325e-05

Generation: 10034, Heterozygosity: 2.80456e-05

Generation: 10035, Heterozygosity: 2.85509e-05

Generation: 10036, Heterozygosity: 2.80133e-05

Generation: 10037, Heterozygosity: 2.71416e-05

Generation: 10038, Heterozygosity: 2.86448e-05

Generation: 10039, Heterozygosity: 2.79379e-05

Generation: 10040, Heterozygosity: 2.65753e-05

Generation: 10041, Heterozygosity: 2.79998e-05

Generation: 10042, Heterozygosity: 2.704e-05

Generation: 10043, Heterozygosity: 2.6578e-05

Generation: 10044, Heterozygosity: 2.65129e-05

Generation: 10045, Heterozygosity: 2.7318e-05

Generation: 10046, Heterozygosity: 2.7874e-05

Generation: 10047, Heterozygosity: 2.84963e-05

Generation: 10048, Heterozygosity: 2.83426e-05

Generation: 10049, Heterozygosity: 2.79122e-05

Generation: 10050, Heterozygosity: 2.76131e-05

Generation: 10051, Heterozygosity: 2.73646e-05

Generation: 10052, Heterozygosity: 2.76771e-05

Generation: 10053, Heterozygosity: 2.76942e-05

Generation: 10054, Heterozygosity: 2.7357e-05

Generation: 10055, Heterozygosity: 2.55485e-05

Generation: 10056, Heterozygosity: 2.47727e-05

Generation: 10057, Heterozygosity: 2.60644e-05

Generation: 10058, Heterozygosity: 2.41799e-05

Generation: 10059, Heterozygosity: 2.51293e-05

Generation: 10060, Heterozygosity: 2.40133e-05

Generation: 10061, Heterozygosity: 2.3742e-05

Generation: 10062, Heterozygosity: 2.39709e-05

Generation: 10063, Heterozygosity: 2.41577e-05

Generation: 10064, Heterozygosity: 2.46918e-05

Generation: 10065, Heterozygosity: 2.26977e-05

Generation: 10066, Heterozygosity: 2.40856e-05

Generation: 10067, Heterozygosity: 2.58795e-05

Generation: 10068, Heterozygosity: 2.72605e-05

Generation: 10069, Heterozygosity: 2.71281e-05

Generation: 10070, Heterozygosity: 2.75976e-05

Generation: 10071, Heterozygosity: 2.77813e-05

Generation: 10072, Heterozygosity: 2.73871e-05

Generation: 10073, Heterozygosity: 2.72965e-05

Generation: 10074, Heterozygosity: 2.8511e-05

Generation: 10075, Heterozygosity: 2.91247e-05

Generation: 10076, Heterozygosity: 2.88023e-05

Generation: 10077, Heterozygosity: 2.92701e-05

Generation: 10078, Heterozygosity: 2.9298e-05

Generation: 10079, Heterozygosity: 2.95391e-05

Generation: 10080, Heterozygosity: 2.99985e-05

Generation: 10081, Heterozygosity: 3.0054e-05

Generation: 10082, Heterozygosity: 2.99019e-05

Generation: 10083, Heterozygosity: 2.9556e-05

Generation: 10084, Heterozygosity: 2.97267e-05

Generation: 10085, Heterozygosity: 2.97404e-05

Generation: 10086, Heterozygosity: 3.00171e-05

Generation: 10087, Heterozygosity: 2.98651e-05

Generation: 10088, Heterozygosity: 2.99643e-05

Generation: 10089, Heterozygosity: 3.03486e-05

Generation: 10090, Heterozygosity: 3.10888e-05

Generation: 10091, Heterozygosity: 3.08482e-05

Generation: 10092, Heterozygosity: 2.98176e-05

Generation: 10093, Heterozygosity: 2.91058e-05

Generation: 10094, Heterozygosity: 2.80161e-05

Generation: 10095, Heterozygosity: 2.9238e-05

Generation: 10096, Heterozygosity: 2.86156e-05

Generation: 10097, Heterozygosity: 2.45645e-05

Generation: 10098, Heterozygosity: 2.63421e-05

Generation: 10099, Heterozygosity: 2.73785e-05

Generation: 10100, Heterozygosity: 3.12535e-05

Generation: 10101, Heterozygosity: 3.16491e-05

